Dates,USD/INR
03-01-2000,43.53
04-01-2000,43.505
05-01-2000,43.49
06-01-2000,43.54
07-01-2000,43.55
10-01-2000,43.54
11-01-2000,43.525
12-01-2000,43.545
13-01-2000,43.56
14-01-2000,43.53
17-01-2000,43.545
18-01-2000,43.535
19-01-2000,43.565
20-01-2000,43.61
21-01-2000,43.572
24-01-2000,43.64
25-01-2000,43.62
26-01-2000,43.595
27-01-2000,43.585
28-01-2000,43.64
31-01-2000,43.635
01-02-2000,43.63
02-02-2000,43.62
03-02-2000,43.63
04-02-2000,43.63
07-02-2000,43.64
08-02-2000,43.64
09-02-2000,43.625
10-02-2000,43.655
11-02-2000,43.66
14-02-2000,43.62
15-02-2000,43.63
16-02-2000,43.62
17-02-2000,43.585
18-02-2000,43.64
21-02-2000,43.625
22-02-2000,43.625
23-02-2000,43.63
24-02-2000,43.645
25-02-2000,43.6195
28-02-2000,43.64
29-02-2000,43.62
01-03-2000,43.63
02-03-2000,43.625
03-03-2000,43.605
06-03-2000,43.6
07-03-2000,43.6
08-03-2000,43.585
09-03-2000,43.605
10-03-2000,43.605
13-03-2000,43.565
14-03-2000,43.585
15-03-2000,43.58
16-03-2000,43.575
17-03-2000,43.56
20-03-2000,43.595
21-03-2000,43.6
22-03-2000,43.605
23-03-2000,43.585
24-03-2000,43.62
27-03-2000,43.615
28-03-2000,43.615
29-03-2000,43.615
30-03-2000,43.605
31-03-2000,43.62
03-04-2000,43.63
04-04-2000,43.645
05-04-2000,43.65
06-04-2000,43.645
07-04-2000,43.65
10-04-2000,43.64
11-04-2000,43.645
12-04-2000,43.645
13-04-2000,43.645
14-04-2000,43.662
17-04-2000,43.664
18-04-2000,43.661
19-04-2000,43.662
20-04-2000,43.6625
21-04-2000,43.642
24-04-2000,43.6664
25-04-2000,43.65
26-04-2000,43.6771
27-04-2000,43.676
28-04-2000,43.67
01-05-2000,43.665
02-05-2000,43.6703
03-05-2000,43.665
04-05-2000,43.665
05-05-2000,43.6425
08-05-2000,43.665
09-05-2000,43.695
10-05-2000,44.05
11-05-2000,43.9
12-05-2000,43.95
15-05-2000,43.99
16-05-2000,43.965
17-05-2000,43.99
18-05-2000,43.98
19-05-2000,43.98
22-05-2000,44.025
23-05-2000,44.03
24-05-2000,44.175
25-05-2000,44.065
26-05-2000,44.4
29-05-2000,44.5025
30-05-2000,44.58
31-05-2000,44.575
01-06-2000,44.58
02-06-2000,44.64
05-06-2000,44.675
06-06-2000,44.675
07-06-2000,44.755
08-06-2000,44.76
09-06-2000,44.765
12-06-2000,44.81
13-06-2000,44.75
14-06-2000,44.705
15-06-2000,44.7
16-06-2000,44.7
19-06-2000,44.675
20-06-2000,44.64
21-06-2000,44.665
22-06-2000,44.66
23-06-2000,44.68
26-06-2000,44.645
27-06-2000,44.66
28-06-2000,44.66
29-06-2000,44.6725
30-06-2000,44.675
03-07-2000,44.67
04-07-2000,44.665
05-07-2000,44.695
06-07-2000,44.78
07-07-2000,44.72
10-07-2000,44.645
11-07-2000,44.675
12-07-2000,44.665
13-07-2000,44.705
14-07-2000,44.7
17-07-2000,44.705
18-07-2000,44.75
19-07-2000,44.775
20-07-2000,44.915
21-07-2000,44.75
24-07-2000,44.745
25-07-2000,44.905
26-07-2000,44.855
27-07-2000,44.855
28-07-2000,44.87
31-07-2000,45.01
01-08-2000,45.155
02-08-2000,45.35
03-08-2000,45.33
04-08-2000,45.48
07-08-2000,45.59
08-08-2000,45.715
09-08-2000,45.6
10-08-2000,45.85
11-08-2000,45.8
14-08-2000,45.74
15-08-2000,45.73
16-08-2000,45.72
17-08-2000,45.92
18-08-2000,45.765
21-08-2000,45.65
22-08-2000,45.685
23-08-2000,45.785
24-08-2000,45.93
25-08-2000,45.86
28-08-2000,45.785
29-08-2000,45.8
30-08-2000,45.8
31-08-2000,45.79
01-09-2000,45.765
04-09-2000,45.715
05-09-2000,45.725
06-09-2000,45.65
07-09-2000,45.645
08-09-2000,45.645
11-09-2000,45.605
12-09-2000,45.625
13-09-2000,45.625
14-09-2000,45.7
15-09-2000,45.8
18-09-2000,46
19-09-2000,46.4
20-09-2000,46.29
21-09-2000,45.85
22-09-2000,46.2
25-09-2000,46.005
26-09-2000,46.06
27-09-2000,46.05
28-09-2000,46.01
29-09-2000,46.04
02-10-2000,46.025
03-10-2000,46.025
04-10-2000,46.045
05-10-2000,46.08
06-10-2000,46.095
09-10-2000,46.0875
10-10-2000,46.175
11-10-2000,46.265
12-10-2000,46.265
13-10-2000,46.365
16-10-2000,46.34
17-10-2000,46.3
18-10-2000,46.3375
19-10-2000,46.325
20-10-2000,46.355
23-10-2000,46.375
24-10-2000,46.37
25-10-2000,46.625
26-10-2000,46.64
27-10-2000,46.725
30-10-2000,46.625
31-10-2000,46.73
01-11-2000,46.79
02-11-2000,46.725
03-11-2000,46.59
06-11-2000,46.6
07-11-2000,46.665
08-11-2000,46.67
09-11-2000,46.725
10-11-2000,46.73
13-11-2000,46.78
14-11-2000,46.805
15-11-2000,46.75
16-11-2000,46.84
17-11-2000,46.7735
20-11-2000,46.775
21-11-2000,46.79
22-11-2000,46.82
23-11-2000,46.818
24-11-2000,46.83
27-11-2000,46.84
28-11-2000,46.8675
29-11-2000,46.875
30-11-2000,46.865
01-12-2000,46.86
04-12-2000,46.8235
05-12-2000,46.695
06-12-2000,46.76
07-12-2000,46.755
08-12-2000,46.765
11-12-2000,46.765
12-12-2000,46.765
13-12-2000,46.765
14-12-2000,46.76
15-12-2000,46.77
18-12-2000,46.74
19-12-2000,46.685
20-12-2000,46.71
21-12-2000,46.69
22-12-2000,46.665
25-12-2000,46.6835
26-12-2000,46.645
27-12-2000,46.73
28-12-2000,46.695
29-12-2000,46.675
01-01-2001,46.665
02-01-2001,46.7
03-01-2001,46.705
04-01-2001,46.725
05-01-2001,46.715
08-01-2001,46.68
09-01-2001,46.625
10-01-2001,46.62
11-01-2001,46.645
12-01-2001,46.55
15-01-2001,46.55
16-01-2001,46.495
17-01-2001,46.435
18-01-2001,46.405
19-01-2001,46.375
22-01-2001,46.365
23-01-2001,46.345
24-01-2001,46.375
25-01-2001,46.48
26-01-2001,46.475
29-01-2001,46.495
30-01-2001,46.425
31-01-2001,46.4
01-02-2001,46.4
02-02-2001,46.41
05-02-2001,46.4
06-02-2001,46.38
07-02-2001,46.425
08-02-2001,46.41
09-02-2001,46.475
12-02-2001,46.4788
13-02-2001,46.555
14-02-2001,46.635
15-02-2001,46.555
16-02-2001,46.535
19-02-2001,46.541
20-02-2001,46.615
21-02-2001,46.615
22-02-2001,46.565
23-02-2001,46.605
26-02-2001,46.635
27-02-2001,46.66
28-02-2001,46.55
01-03-2001,46.555
02-03-2001,46.55
05-03-2001,46.52
06-03-2001,46.515
07-03-2001,46.535
08-03-2001,46.525
09-03-2001,46.54
12-03-2001,46.565
13-03-2001,46.655
14-03-2001,46.655
15-03-2001,46.64
16-03-2001,46.705
19-03-2001,46.695
20-03-2001,46.705
21-03-2001,46.685
22-03-2001,46.7
23-03-2001,46.695
26-03-2001,46.65
27-03-2001,46.62
28-03-2001,46.615
29-03-2001,46.63
30-03-2001,46.615
02-04-2001,46.635
03-04-2001,46.625
04-04-2001,46.595
05-04-2001,46.57
06-04-2001,46.555
09-04-2001,46.555
10-04-2001,46.555
11-04-2001,46.695
12-04-2001,46.835
13-04-2001,46.845
16-04-2001,47.02
17-04-2001,46.855
18-04-2001,46.855
19-04-2001,46.85
20-04-2001,46.825
23-04-2001,46.815
24-04-2001,46.815
25-04-2001,46.845
26-04-2001,46.85
27-04-2001,46.85
30-04-2001,46.83
01-05-2001,46.82
02-05-2001,46.825
03-05-2001,46.825
04-05-2001,46.825
07-05-2001,46.825
08-05-2001,46.825
09-05-2001,46.825
10-05-2001,46.855
11-05-2001,46.885
14-05-2001,46.975
15-05-2001,47.005
16-05-2001,46.975
17-05-2001,46.955
18-05-2001,46.935
21-05-2001,46.975
22-05-2001,47.015
23-05-2001,46.975
24-05-2001,46.975
25-05-2001,46.975
28-05-2001,46.98
29-05-2001,46.96
30-05-2001,46.965
31-05-2001,47
01-06-2001,47.015
04-06-2001,47.015
05-06-2001,47
06-06-2001,46.975
07-06-2001,46.97
08-06-2001,46.98
11-06-2001,47
12-06-2001,47.03
13-06-2001,47.04
14-06-2001,46.975
15-06-2001,47
18-06-2001,46.97
19-06-2001,46.95
20-06-2001,46.96
21-06-2001,46.965
22-06-2001,47
25-06-2001,47.01
26-06-2001,47.02
27-06-2001,46.99
28-06-2001,47.01
29-06-2001,47.04
02-07-2001,47.13
03-07-2001,47.135
04-07-2001,47.11
05-07-2001,47.125
06-07-2001,47.135
09-07-2001,47.14
10-07-2001,47.14
11-07-2001,47.155
12-07-2001,47.155
13-07-2001,47.165
16-07-2001,47.145
17-07-2001,47.125
18-07-2001,47.155
19-07-2001,47.125
20-07-2001,47.13
23-07-2001,47.13
24-07-2001,47.135
25-07-2001,47.135
26-07-2001,47.155
27-07-2001,47.135
30-07-2001,47.145
31-07-2001,47.135
01-08-2001,47.115
02-08-2001,47.105
03-08-2001,47.115
06-08-2001,47.105
07-08-2001,47.115
08-08-2001,47.125
09-08-2001,47.135
10-08-2001,47.12
13-08-2001,47.125
14-08-2001,47.115
15-08-2001,47.125
16-08-2001,47.125
17-08-2001,47.125
20-08-2001,47.125
21-08-2001,47.13
22-08-2001,47.13
23-08-2001,47.125
24-08-2001,47.125
27-08-2001,47.135
28-08-2001,47.145
29-08-2001,47.125
30-08-2001,47.135
31-08-2001,47.135
03-09-2001,47.15
04-09-2001,47.135
05-09-2001,47.15
06-09-2001,47.185
07-09-2001,47.265
10-09-2001,47.355
11-09-2001,47.41
12-09-2001,47.435
13-09-2001,47.56
14-09-2001,47.815
17-09-2001,47.85
18-09-2001,48.05
19-09-2001,48.005
20-09-2001,47.985
21-09-2001,48.015
24-09-2001,47.9
25-09-2001,47.875
26-09-2001,47.875
27-09-2001,47.855
28-09-2001,47.86
01-10-2001,47.985
02-10-2001,47.975
03-10-2001,47.915
04-10-2001,48.005
05-10-2001,48.005
08-10-2001,48.13
09-10-2001,48.125
10-10-2001,48.04
11-10-2001,48.045
12-10-2001,48.03
15-10-2001,48.03
16-10-2001,47.985
17-10-2001,48.005
18-10-2001,48.045
19-10-2001,48.04
22-10-2001,48.005
23-10-2001,47.995
24-10-2001,48.045
25-10-2001,48.035
26-10-2001,48.005
29-10-2001,47.97
30-10-2001,47.98
31-10-2001,48.005
01-11-2001,48
02-11-2001,47.99
05-11-2001,47.975
06-11-2001,47.975
07-11-2001,47.98
08-11-2001,48.015
09-11-2001,48
12-11-2001,47.99
13-11-2001,48.06
14-11-2001,48.06
15-11-2001,47.975
16-11-2001,47.97
19-11-2001,47.945
20-11-2001,47.975
21-11-2001,47.97
22-11-2001,48.025
23-11-2001,48.015
26-11-2001,47.975
27-11-2001,47.97
28-11-2001,48.005
29-11-2001,47.975
30-11-2001,47.925
03-12-2001,47.955
04-12-2001,47.96
05-12-2001,47.93
06-12-2001,47.85
07-12-2001,47.81
10-12-2001,47.835
11-12-2001,47.8
12-12-2001,47.825
13-12-2001,47.855
14-12-2001,47.855
17-12-2001,47.825
18-12-2001,47.825
19-12-2001,47.775
20-12-2001,47.795
21-12-2001,47.82
24-12-2001,47.915
25-12-2001,47.835
26-12-2001,47.95
27-12-2001,48.15
28-12-2001,48.265
31-12-2001,48.245
01-01-2002,48.27
02-01-2002,48.255
03-01-2002,48.265
04-01-2002,48.265
07-01-2002,48.265
08-01-2002,48.275
09-01-2002,48.315
10-01-2002,48.365
11-01-2002,48.415
14-01-2002,48.35
15-01-2002,48.285
16-01-2002,48.295
17-01-2002,48.305
18-01-2002,48.245
21-01-2002,48.245
22-01-2002,48.275
23-01-2002,48.275
24-01-2002,48.345
25-01-2002,48.355
28-01-2002,48.355
29-01-2002,48.435
30-01-2002,48.525
31-01-2002,48.52
01-02-2002,48.525
04-02-2002,48.585
05-02-2002,48.63
06-02-2002,48.69
07-02-2002,48.695
08-02-2002,48.705
11-02-2002,48.73
12-02-2002,48.675
13-02-2002,48.685
14-02-2002,48.695
15-02-2002,48.675
18-02-2002,48.6
19-02-2002,48.655
20-02-2002,48.615
21-02-2002,48.675
22-02-2002,48.755
25-02-2002,48.825
26-02-2002,48.725
27-02-2002,48.73
28-02-2002,48.74
01-03-2002,48.725
04-03-2002,48.705
05-03-2002,48.705
06-03-2002,48.695
07-03-2002,48.72
08-03-2002,48.725
11-03-2002,48.735
12-03-2002,48.72
13-03-2002,48.72
14-03-2002,48.715
15-03-2002,48.725
18-03-2002,48.715
19-03-2002,48.725
20-03-2002,48.725
21-03-2002,48.75
22-03-2002,48.77
25-03-2002,48.755
26-03-2002,48.78
27-03-2002,48.8
28-03-2002,48.815
29-03-2002,48.815
01-04-2002,48.815
02-04-2002,48.82
03-04-2002,48.905
04-04-2002,48.86
05-04-2002,48.84
08-04-2002,48.905
09-04-2002,48.905
10-04-2002,48.905
11-04-2002,48.905
12-04-2002,48.905
15-04-2002,48.915
16-04-2002,48.925
17-04-2002,48.9325
18-04-2002,48.91
19-04-2002,48.885
22-04-2002,48.92
23-04-2002,48.97
24-04-2002,48.99
25-04-2002,48.975
26-04-2002,48.97
29-04-2002,48.975
30-04-2002,48.95
01-05-2002,48.935
02-05-2002,48.94
03-05-2002,48.98
06-05-2002,48.94
07-05-2002,48.965
08-05-2002,48.95
09-05-2002,48.965
10-05-2002,48.965
13-05-2002,49.015
14-05-2002,49
15-05-2002,49.025
16-05-2002,49.05
17-05-2002,48.985
20-05-2002,49.03
21-05-2002,48.995
22-05-2002,48.98
23-05-2002,49.05
24-05-2002,48.995
27-05-2002,48.97
28-05-2002,48.965
29-05-2002,48.985
30-05-2002,49.005
31-05-2002,49.045
03-06-2002,49.035
04-06-2002,49.04
05-06-2002,49.04
06-06-2002,48.97
07-06-2002,49.0185
10-06-2002,48.975
11-06-2002,48.975
12-06-2002,48.975
13-06-2002,48.995
14-06-2002,48.995
17-06-2002,48.99
18-06-2002,48.985
19-06-2002,48.925
20-06-2002,48.91
21-06-2002,48.92
24-06-2002,48.89
25-06-2002,48.9
26-06-2002,48.86
27-06-2002,48.845
28-06-2002,48.885
01-07-2002,48.845
02-07-2002,48.83
03-07-2002,48.8
