Date,NAV,Cash_NAV,Gold_NAV,Apple_NAV,JnJ_NAV,PG_NAV,EM_NAV,Private Credit_NAV,TIPS ETF_NAV,10Y Bond_NAV,SPX ATM Call_NAV,Inflation Swap_NAV,Convertible Bond_NAV
2015-01-06,997506.8628625099,150014.69870381066,101045.42753775505,49772.528150160586,49781.11702838982,49857.144947651825,99337.75236669576,98937.8896345782,99864.61110017804,99478.12868814812,0.0,99256.5762639941,100160.98844114775
2015-01-07,999812.9280008136,150029.3988479673,100466.61718299998,50375.864394648066,50859.44020289817,50347.49104130598,100016.38971108868,99757.2443475469,99969.06824649124,99264.52009384743,0.0,98384.33948392044,100342.55444809947
2015-01-08,1005035.8251682285,150044.100432611,100227.20471681087,52058.797658203905,51294.456998969064,50992.072873013545,101728.42938195521,100709.5072111821,99945.49877143251,99024.78378960481,0.0,98439.16912364501,100571.8042108003
2015-01-09,1006786.5314324195,150058.80345788298,101361.3408212738,52091.64450420818,50641.81808022884,50545.28232793941,101959.69908312168,100190.76442519097,100249.01516717584,99420.3940625182,0.0,99550.07843123109,100717.6910716485
2015-01-10,1007229.3088872543,150073.5079239244,102508.31041447945,52124.51207514929,49997.482935096414,50102.40654411972,102191.49455348564,99674.69362206887,100553.45328729512,99817.58482348766,0.0,99319.5731944872,100866.28951366068
2015-01-11,1006909.4974178172,150088.2138308764,103668.25871571203,52157.40038410375,49361.34591149657,49663.41122056973,102423.81698833227,99161.28103874739,100858.81593090053,100216.36238666292,0.0,98352.15102682213,100958.43998359345
2015-01-12,1004904.880309345,150102.9211788802,104451.31655347084,51054.73877580408,49228.409094931354,49518.095484035424,101673.27265331298,98897.36323071453,100774.8832427281,100239.1669227491,0.0,97898.61847259077,101066.09470012748
2015-01-13,1005176.878053426,150117.62996807703,104220.99198105808,51368.93103998192,49300.82770477357,49669.23992747531,101894.01018723007,98911.99536751628,100583.51086801679,100177.11647494696,0.0,97612.52668720947,101320.09784714051
2015-01-14,1004172.2891384258,150132.3401986081,104088.21738593637,51151.37198672777,48988.46009813559,49521.94750704826,101465.84849509828,98406.55063855204,101033.01625722971,100070.52769950991,0.0,97818.70975280963,101495.2991187702
2015-01-15,1006592.8718983135,150147.05187061464,106711.87897951028,49956.73308427614,48315.156262828335,49539.662363035815,101713.72033877211,97774.15684871847,101764.0845124714,100304.93437202928,0.0,98742.85635102473,101622.63691503245
2015-01-16,1008500.4970001397,150161.7649842379,108044.33284492664,49870.52031662839,49049.61961262049,50175.681391184015,101603.76007159111,97145.82703534607,101356.6791421037,99587.27978385285,0.0,99778.67487882295,101726.35693882554
2015-01-17,1010039.8932746932,150176.47953961918,109393.42434544457,49784.45633055315,49795.24791465358,50819.86600191536,101493.9186798216,96521.53508194706,100950.90479054386,98874.75981952275,0.0,100435.32539648893,101793.97537418322
