Date,Return
2015-01-06,-0.002493652765932719
2015-01-07,0.0051868018149126005
2015-01-08,0.007685935663588328
2015-01-09,-0.000561144260670221
2015-01-10,-0.0005188574089137754
2015-01-11,-0.0004766395396729184
2015-01-12,-0.003008230596521555
2015-01-13,0.0008418950165047789
2015-01-14,-0.0020446871478452255
2015-01-15,-0.00047377618865340754
2015-01-16,0.0020513931117616124
2015-01-17,0.0021132711983735675
2015-01-18,0.0021754347924254347
2015-01-19,0.0022378790850936525
2015-01-20,0.0007707559529295249
2015-01-21,0.0020932114995111384
2015-01-22,0.007423562886247348
2015-01-23,-0.0026681555421597114
2015-01-24,-0.0026229625977666204
2015-01-25,-0.002578039281992628
2015-01-26,-0.0009284325271468052
2015-01-27,-0.005728308617430122
2015-01-28,0.00016971122752384993
2015-01-29,0.001594775346957844
2015-01-30,-0.004045154764616088
2015-01-31,-0.0038956456929571948
2015-02-01,-0.003745402877066706
2015-02-02,0.0026834695137234466
2015-02-03,0.002977422724691259
2015-02-04,0.0008831907680708628
2015-02-05,0.0022318395719713724
2015-02-06,-0.006126619258113308
2015-02-07,-0.006069080093791923
2015-02-08,-0.0060119549987739385
2015-02-09,-0.0021507429980806014
2015-02-10,0.0023982954149393
2015-02-11,0.0004990195533938202
2015-02-12,0.0023888136540548555
2015-02-13,0.0032065421757585533
2015-02-14,0.0032356769804191554
2015-02-15,0.003264925786055528
2015-02-16,0.0032942879039248307
2015-02-17,-0.0012714747920923308
2015-02-18,0.0017028702323171885
2015-02-19,-0.0011425624181382599
2015-02-20,0.0004432557147002747
2015-02-21,0.00045228447886036527
2015-02-22,0.0004613411271428003
2015-02-23,0.0029022870329140638
2015-02-24,0.001716925676294112
2015-02-25,-0.00046069495207357036
2015-02-26,0.003036684719106564
2015-02-27,-0.0007056227854111974
2015-02-28,-0.0006880221272631548
2015-03-01,-0.0006705277498401108
2015-03-02,0.00021433980461571522
2015-03-03,-0.001896703251701437
2015-03-04,-0.0033462323579879216
2015-03-05,-0.0006357487824842911
2015-03-06,-0.009082756502454714
2015-03-07,-0.008988200573020633
2015-03-08,-0.008894348287615261
2015-03-09,0.0006107236854617781
2015-03-10,-0.00794940687597967
2015-03-11,-0.0032263033183047574
2015-03-12,0.004852549698819875
2015-03-13,-0.002925581504747199
2015-03-14,-0.0029112354298509446
2015-03-15,-0.0028969125427297238
2015-03-16,0.005008140495420976
2015-03-17,0.0001528399003640768
2015-03-18,0.0076564666087186595
2015-03-19,0.0004891320512192543
2015-03-20,0.003560660185440323
2015-03-21,0.003593426243224007
2015-03-22,0.0036262692917363726
2015-03-23,0.002812919040839912
2015-03-24,-0.0009076653250577049
2015-03-25,-0.006040401460741585
2015-03-26,-0.0018344052727158333
2015-03-27,-0.0074751196762951055
2015-03-28,-0.007085979251748142
2015-03-29,-0.006715927380110176
2015-03-30,0.0037681322667897366
2015-03-31,-0.0018193770212155957
2015-04-01,0.0021842067614339378
2015-04-02,0.001976797073756753
2015-04-03,0.0019923133563970463
2015-04-04,0.0020078667647640547
2015-04-05,0.002023457196154377
2015-04-06,0.003931037224476075
2015-04-07,-0.0005542182804367801
2015-04-08,0.0009722226515207488
2015-04-09,0.0011569307171428456
2015-04-10,0.0032923790424401744
2015-04-11,0.003302945042167771
2015-04-12,0.003313530410066212
2015-04-13,-0.0015570921025080953
2015-04-14,-0.00035218220449073634
2015-04-15,0.002189217478524297
2015-04-16,0.0006086496536374941
2015-04-17,-0.002663284865188742
2015-04-18,-0.0026258308205492353
2015-04-19,-0.0025884337205859254
2015-04-20,0.00183956962641596
2015-04-21,0.0007400068999010578
2015-04-22,0.0001761966295412698
2015-04-23,0.0008917115336339876
2015-04-24,0.001322397210611781
2015-04-25,0.0013476188670455969
2015-04-26,0.0013726679575103429
2015-04-27,0.0025363752789315797
2015-04-28,-0.000411137983955312
2015-04-29,-0.003810876013082276
2015-04-30,-0.006535297285700459
2015-05-01,0.002398142546576665
2015-05-02,0.0024746777272330878
2015-05-03,0.0025520640092804303
2015-05-04,0.0008959526441076893
2015-05-05,-0.003935221295243929
2015-05-06,-0.0021460095783025768
2015-05-07,-0.00064234988651235
2015-05-08,0.00631227975279991
2015-05-09,0.006356144549237053
2015-05-10,0.006400208076651648
2015-05-11,-0.003464192129903343
2015-05-12,-0.0013011095108164117
2015-05-13,0.002591173116361256
2015-05-14,0.0062665487585376045
2015-05-15,0.0024151383089054956
2015-05-16,0.0024223874891720065
2015-05-17,0.0024296381428017266
2015-05-18,0.000653193582815792
2015-05-19,-0.0014988902043399088
2015-05-20,-0.0005124956551776361
2015-05-21,-8.78491454405772e-05
2015-05-22,-0.00046921723443327235
2015-05-23,-0.0004531098606171957
2015-05-24,-0.00043705590565246144
2015-05-25,-0.00042105524116886617
2015-05-26,-0.006130488655771149
2015-05-27,0.0029040479452775436
2015-05-28,-0.0009684713347797302
2015-05-29,-0.003018745640331333
2015-05-30,-0.002996679463712737
2015-05-31,-0.0029746666746740535
2015-06-01,-0.00040955674047093993
2015-06-02,-0.0010392637831848628
2015-06-03,-0.0013775955467999479
2015-06-04,-0.0034477889972760467
2015-06-05,-0.0033885391773714746
2015-06-06,-0.003375004032252882
2015-06-07,-0.0033615248775104023
2015-06-08,-0.0013634619836088158
2015-06-09,0.0004754108525655276
2015-06-10,0.004375756867699199
2015-06-11,0.000795330365452207
2015-06-12,-0.002322811890797971
2015-06-13,-0.002306905607611709
2015-06-14,-0.002291070589928945
2015-06-15,-0.0021647214968363304
2015-06-16,0.002294173867369853
2015-06-17,0.0022489304189381443
